domain,total_appearances,unique_days,first_seen,last_seen,avg_sentiment
emarketzhfjehkqd53lnjgmtvbf7tseydias4rjpazwifiqcotoi2gad.onion,80,8,2025-10-18,2025-10-27,0.1612
la5tlzncwsoqxqmuarofmjzltkpb7uyc7vbowprc5gxzqzdeumdmhmad.onion,64,8,2025-10-18,2025-10-27,0.16441250000000002
globdealxzrt4ofm4bg3wo2epcjv3qt6zrjdfub6twp73fwwviusf2qd.onion,8,8,2025-10-18,2025-10-27,0.2334
h63rtg7uetpfgdmubwzqtfyvjxiksgy6cgec5hdqnun2nc7scm7di5id.onion,78,8,2025-10-18,2025-10-27,0.21803717948717946
helllbtvpp2jcwuqwwiymybimd2e2uo7dyb4dgejsudmhaiiyzmalxad.onion,58,8,2025-10-18,2025-10-27,0.08472931034482759
idcforqkaw7bs7pjkl2ludcetrl7v3seyhiv67rou6vc7ojdf55jvsid.onion,8,8,2025-10-18,2025-10-27,0.0
ji4jzsvnjqtqcpssz5g3txmrssllielwdmxxipszjuwe76e6ui4dv6id.onion,8,8,2025-10-18,2025-10-27,0.4167
la5tlzncrpttaqzfvmtrgixl6u77w36ueqx5e2v47uqqrk5i5hmsxxyd.onion,64,8,2025-10-18,2025-10-27,0.16441250000000002
linkscgv7shdrvgv7pkwpdqyn2owgdgqdxdrwqakeinsu5ddh5yvhbid.onion,8,8,2025-10-18,2025-10-27,0.1066
globaluttyccifnkid64jw6a33rgkz3o66ka7sho2isispn5xan3zkyd.onion,8,8,2025-10-18,2025-10-27,0.2334
lmk3ih4ewmcxhqikrwsbiiuzlxu44l77emhphqmbfacfivknk3cnz5qd.onion,36,8,2025-10-18,2025-10-27,0.14335833333333337
maria7bobo4lwtn5ujx2y4dg5yhzsikskaizez6ufo2flyygwh3stlqd.onion,80,8,2025-10-18,2025-10-27,0.19167
maria7vmc4hgf2xfqjhuxxgd7ghenxtc6vrwwpuhf6tq7upef62h4hid.onion,78,8,2025-10-18,2025-10-27,0.13722692307692308
mccoikkg2gp2vwkzbubru5v4kdtdunl4cm7cnkx37efz2qzbdtmj6oad.onion,40,8,2025-10-18,2025-10-27,0.139075
merckf6nxkhwf2mew4bpels4tk5tl2girbdfknqxlcljq2arjoaxnjad.onion,56,8,2025-10-18,2025-10-27,0.26080000000000003
mixbit432nsobfrjomkr3mdeplesqwvpjkqbsh3wxdhuxmxxfuhymcqd.onion,16,8,2025-10-18,2025-10-27,0.2
globalvbup4zfzscvdomhsaf6hf6gccc3ri4yb6b73as6u3ikttadlid.onion,8,8,2025-10-18,2025-10-27,0.2334
globalupfb6ojozlnn22p2zcl57ojnjlxvcvl52f7ldwqrkfwrfmcgyd.onion,8,8,2025-10-18,2025-10-27,0.2334
moneyyy5zsjay5h47s3yzxmoadusnotgxrxtp7jgiky7pwguhfusybyd.onion,24,8,2025-10-18,2025-10-27,-0.0333
drugj7dwjgdxyrqlciswny7ioa6wt2bbljifqspw2mg2cxv4n36ihcyd.onion,8,8,2025-10-18,2025-10-27,0.0327
drug3ttuwdtr7g2xdimbv6it5cpj2cyqjlmj4tp4rx7z4qatpv3232ad.onion,30,8,2025-10-18,2025-10-27,0.11261666666666666
drug4rvocj5lhlrh4numvzl7mhbg6yclxmasingem5jmgnlwirqr64id.onion,8,8,2025-10-18,2025-10-27,0.0327
drugalcay2rkclrtjsdzinba7ahpovl5ay5nlf53qtynwbfs7d6gstyd.onion,32,8,2025-10-18,2025-10-27,0.115875
drugaxieoks3ls2kqaqhki6fcm2cwwmbf4prlf3xpfxqpljuj752cqad.onion,8,8,2025-10-18,2025-10-27,0.0327
drugey77ff24c3p7lqglddisyayicgbgf4hbz4sw3iovqn42agl6f7id.onion,32,8,2025-10-18,2025-10-27,0.115875
druggyadmvzr77uniolndhvpgr3nhuin7sklwk62pmrrw6e3ai2j3yad.onion,8,8,2025-10-18,2025-10-27,0.0327
dypb2u4anofmwe4fgj27o4zliaixfjn22zt7jshmuqnd5znely5rrtqd.onion,56,8,2025-10-18,2025-10-27,-0.0283
gdatura24gtdy23lxd7ht3xzx6mi7mdlkabpvuefhrjn4t5jduviw5ad.onion,8,8,2025-10-18,2025-10-27,-0.0478
dypb2u4ayhj53jhgoe7tjcitdhmsiyes6zvokqlvv5yi2tude6pemtid.onion,56,8,2025-10-18,2025-10-27,-0.0283
eeqxgyx3xsub4crps4vbx35jtnltoxwybc4klljh35bx3aqwr75cmbyd.onion,32,8,2025-10-18,2025-10-27,0.19280624999999998
3u6kzpiisejj3vr7xhaufzemaw54g4yxvpufepaznph2qhzsqhegbpqd.onion,38,8,2025-10-18,2025-10-27,0.07607894736842105
fairxpo224mgv3evatevnso5hj7vfxxwqueydcujwb6yljelk3s2afqd.onion,12,8,2025-10-18,2025-10-27,0.10307500000000001
freedomfogg2jf54gneu5oyuswh66gjvgxqbiyo5i35jjcxqww2mkfad.onion,53,8,2025-10-18,2025-10-27,0.1656811320754717
gaklwru23azbl753erocd63e7ez3vzgvv2l6vwvcsztldle5qvsxkoid.onion,8,8,2025-10-18,2025-10-27,0.2688
mixbit43zdwkkwzsm3anlw5m6rsv4txxbkk2ekpv7csqmdwdrv7e2qad.onion,16,8,2025-10-18,2025-10-27,0.2
narcohsagfyxrvcyhndaf5netvqeu2df5h4oavsuszjb3tjsqpqcf3id.onion,47,8,2025-10-18,2025-10-27,0.2861553191489362
deep6xcucd2o3ubqmuhwxiq37yw3fkroiwt74icyindute5znr2zpuad.onion,8,8,2025-10-18,2025-10-27,0.0911
uwbgdziyojur7ng25d24ggezbdtbf6myjcls2x6eu7vm6hldsxoonwqd.onion,8,8,2025-10-18,2025-10-27,0.0667
teqs2rnm3vddpuvxgrbbsgv4flcww6cpcu3ssnuhow3zlxuezktwrwyd.onion,54,8,2025-10-18,2025-10-27,0.06887962962962962
titanshopy2xhbajsohktei2r4iwwtn5lluzcfrmztv3i327omrzikid.onion,16,8,2025-10-18,2025-10-27,0.0736
torrun2qbnatvz7teqdbrowcw3tzexpkbkac76romztnaq5ngqxyz5ad.onion,16,8,2025-10-18,2025-10-27,0.0
tribeds7qq5wxpkbvnn3dvjgrjctjru7kf2pvupfm6a7zobj3nmj7tid.onion,8,8,2025-10-18,2025-10-27,-0.2461
u3mqsh2dzbbj2mv6evcobgtp7c3y6y3lox7dwvdoxhkd5dwg26xuxdid.onion,56,8,2025-10-18,2025-10-27,0.024999999999999998
urabekgynqblxgtam67ih6fuw75uzvxkow7aygjfluwifynmd2h75xad.onion,8,8,2025-10-18,2025-10-27,0.18510000000000001
vjbrzpjdjnymqdbuvcjwnj5w2xo65gfehe6c32eh3rv5t324xafo4kad.onion,8,8,2025-10-18,2025-10-27,-0.0056
tamazoncmlw2ohkbsmqxnotudejdd4befrasxuigzzjumqu3zba535yd.onion,31,8,2025-10-18,2025-10-27,0.132
